,beneficiario,destino,exercicio,motivo,nEmpenho,periodo,situacaoEmpenho,unidadeOrcamentaria,valorTotalDiario
0,JOSE WILLYS PAZ ALBURQUERQUE,ARACOIABA-CE,2014,"REALIZAR FISCALIZACAO EM CRONOTACOGRAFOS, NA CIDADE DE ARACOIABA-CE                                                                                                                                                                                            ",1189,08/10/2014 a 09/10/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"352,36"
1,MARIANA CARVALHO GOMES,BRASILIA-DF,2014,"VALOR REFERENTE A QUATRO DIARIAS DA REGIAO II, EM NOME DO SERVIDOR: MARIANA CARVALHO GOMES - GERENTE DE CELULA DE ENGENHARIA, ATO NO 792 2014, COM O OBJETO DE ACOMPANHAR O COORDENADOR GERAL DO PRODETUR E PARTICIPAR DE REUNIOES DE NEGOCIO DAS MINUTAS CONTR",0538,07/12/2014 a 10/12/2014,Pago,30.101-SECRETARIA MUNICIPAL DE TURISMO DE FORTALEZA,"1.920,00"
2,LUIZ WAGNER BARBOSA DA SILVA,ARACAS-CE,2014,"REALIZAR VERIFICACAO EM MEDIDORES DE VELOCIDADE E BALANCA DE PESAGEM DINAMICA DA SEFAZ, NOS MUNICIPIOS DE ARACATI, REDENCAO, ARACOIABA, JAGUARIBE E BRAJO SANTO-CE.                                                                                            ",1179,08/10/2014 a 10/10/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"528,54"
3,FERNANDO ROSSAS FREIRE,RIO DE JANEIRO-RJ,2014,"PAGAMENTO DE 4,5 DIARIAS ADMINISTRATIVAS PARA PARTICIPAR DO ENCONTRO TECNICO DA DIMEL COM A RBMLQ-I E OU CAMARA SETORIAL DE METROLOGIA LEGAL.                                                                                                                  ",1059,10/11/2014 a 10/11/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.949,95"
4,ALEXANDRE SAMPAIO GUIZARDI,BRASILIA-DF,2014,PARTICIPAR DO WORSKSHOP COPA DO MUNDO FIFA 2014                                                                                                                                                                                                                ,0038,16/02/2014 a 17/02/2014,Pago,52.101-SECRETARIA MUNICIPAL EXTRAORDINARIA DA COPA 2014,"960,00"
5,JOSE HERMAN NORMANDO ALMEIDA,SAO PAULO-SP,2014,PARTICIPAR DO SEGUNDO SEMINARIO GERAL DE SEGURANCAPARA A COPA DO MUNDO DE FUTEBOL - BRASIL -FIFA 2014                                                                                                                                                          ,0039,23/02/2014 a 25/02/2014,Pago,52.101-SECRETARIA MUNICIPAL EXTRAORDINARIA DA COPA 2014,"1.350,00"
6,JANAINA ROCHA DE SOUSA ALMEIDA,SAO PAULO-SP,2014,"REF:A DIARIAS,ACRESCIDO DE UMA DIARIA DE DESLOCAME-NTO,EM FAVOR DE JANAINA ROCHA DE SOUSA ALMEIDA,SER-VIDORA-CIRUGIAO DENTISTA.DNS-3,P PARTICIPAR DO IIENCONTRO NACIONAL DO PROGRAMA DBRASIL SORRIDENTE NACIDADE DE SAO PAULO.                                 ",2418,29/01/2014 a 31/01/2014,Pago,25.901-FUNDO MUNICIPAL DE SAUDE - ADMINISTRACAO GERAL,"1.350,00"
7,ANDRE LUIS BENEVIDES BOMFIM,BRASILIA-DF,2014,"REF:A DIARIAS,ACRESCIDO DE UMA DIARIA DE DESLOCAMENTO,EM FAVOR DE ANDRE LUIS BENEVIDES BOMFIM,GERENTEDA CELULA DE ATENCAO PRIMARIA A SAUDE,SIMBOLOGIADNS-2,P  PARTICIPAR DO IV FORUM NACIONAL DE GESTAODA ATENCAO BASICA,NA CIDADE DE BRASILIA.                ",2660,18/02/2014 a 21/02/2014,Pago,25.901-FUNDO MUNICIPAL DE SAUDE - ADMINISTRACAO GERAL,"1.800,00"
8,MARIA DO PERPETUO SOCORRO MARTINS BRECKENFELD,BRASILIA-DF,2014,PARTICIPAR DA REUNIAO NO MINISTERIO DA SAUDE.                                                                                                                                                                                                                  ,3379,12/03/2014 a 13/03/2014,Pago,25.901-FUNDO MUNICIPAL DE SAUDE - ADMINISTRACAO GERAL,"1.100,00"
9,MARIA AGUEDA PONTES CAMINHA MUNIZ,BRASILIA-DF,2014,PARTICIPAR DE REUNIAO JUNTAMENTE COM O PREFEITOROBERTO CLAUDIO.                                                                                                                                                                                                ,0005,13/03/2014 a 14/03/2014,Pago,28.901-FUNDO DE DEFESA DO MEIO AMBIENTE,"1.100,00"
10,MARIA AGUEDA PONTES CAMINHA MUNIZ,BRASILIA-DF,2014,PARTICIPAR DO EVENTO:  O CUSTO DA BUROCRACIA NOIMOVEL.                                                                                                                                                                                                         ,0006,19/03/2014 a 20/03/2014,Pago,28.901-FUNDO DE DEFESA DO MEIO AMBIENTE,"1.100,00"
11,LUIZ GONZAGA DE AQUINO,QUIXERAMOBIM-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0100,07/04/2014 a 13/04/2014,Anulado,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.233,26"
12,RAIMUNDO SALES CARLOS,MONSENHOR TABOSA-CE,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0101,07/04/2014 a 17/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.937,98"
13,JOSE ALBERICO RIBEIRO MONTEIRO,REDENCAO-PA,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0102,10/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
14,JOSE RIBAMAR FREITAS,ITAPIPOCA-CE,2014,"REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO, NOS MUNICIPIOS DE ITAPIPOCA, AMONTADA, MIRAIMA, ITAREMA, TURURU-CE.                                                                                                                          ",1074,03/11/2014 a 14/11/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
15,JOSE ALBERICO RIBEIRO MONTEIRO,ARACOIABA-PE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0103,24/03/2014 a 05/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.290,34"
16,JOSE AIRTON TAVARES DO PRADO,MILHA-CE,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0104,24/03/2014 a 04/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
17,JOSAFHAT NOBRE DO NASCIMENTO,MILHA-CE,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0105,24/03/2014 a 04/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
18,HERMES GOMES FARIAS DA SILVA,REDENCAO-PA,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0106,10/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
19,HERMES GOMES FARIAS DA SILVA,ARACOIABA-PE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0107,24/03/2014 a 05/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.290,34"
20,MARCELO BARBOSA PERCIVO CUNHA,GENERAL SAMPAIO-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0108,10/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
21,CICERO MOACIR MARCAL DE QUEIROZ,MOMBACA-CE,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0109,10/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
22,MARCELO BARBOSA PERCIVO CUNHA,IRAUCUBA-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0110,24/03/2014 a 04/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
23,ELIZIOMAR ARAUJO DE CARVALHO,MOMBACA-CE,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0111,10/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
24,CICERO MOACIR MARCAL DE QUEIROZ,MOMBACA-CE,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0112,24/03/2014 a 04/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
